"company";"position";"level";"requirements";"salary1B2BMin";"salary1B2BMax";"salary1UoPMin";"salary1UoPMax";"salary1UZMin";"salary1UZMax";"salary1UoDMin";"salary1UoDMax";"salary2B2BMin";"salary2B2BMax";"salary2UoPMin";"salary2UoPMax";"salary2UZMin";"salary2UZMax";"salary2UoDMin";"salary2UoDMax";"salary3B2BMin";"salary3B2BMax";"salary3UZMin";"salary3UZMax";"url"
"BFirst.Tech sp. z o.o.";"DevOps";"Mid";"Azure|Linux|Docker|Polish|Bash|CI/CD";14500;21000;NA;NA;NA;NA;NA;NA;NA;NA;13500;18000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/devops-engineer-bfirst-tech-krakow-vozdopsa"
"HR Bank Sp. z o.o /Headhunting Agency";"Backend";"Mid";"Java|Spring|Hibernate|Git|Maven|SOAP|REST|Java EE";20160;26880;NA;NA;NA;NA;NA;NA;19200;25600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/java-developer-hr-bank-headhunting-agency-warszawa-f3zq2pvj"
"Lingaro";"Business Intelligence";"Mid";"Azure|Python|SQL|ETL|MS Stack|Azure Data Factory|Azure DataBricks|Azure DataLake|Cloud Technologies|English|Team player|Communication skills|Critical thinking|Problem solving|Proactivity|Data Engineering|Spark";20160;26880;NA;NA;NA;NA;NA;NA;19200;25600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/azure-data-engineer-lingaro-remote-iwz8g05i"
"PCMI";"Fullstack";"Mid";".NET|TypeScript|Microsoft|C#|Azure|SQL Server|CSS|SQL|MS SQL|JavaScript|jQuery";14000;18000;NA;NA;NA;NA;NA;NA;NA;NA;12000;15000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/fullstack-net-developer-pcmi-krakow-qa9awggf"
"Mobile Reality";"Backend";"Junior";"Node.js|Git|SQL|PostgreSQL|Node|Typescript|javascript|Nest.js";7000;10000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-backend-developer-mobile-reality-remote-p93rijga"
"SB Software Sp. z o.o.";"Backend";"Junior";"Znajomość obsługi komputera (Windows, przeglądarki WWW)|Java|motywacja do pracy, nastawienie na współpracę|dyspozycyjność|chęć kształcenia się w kierunku programisty|English";NA;NA;NA;NA;3500;4000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/adept-java-developer-sb-software-szczecin-cpcuqk3e"
"The WorkinGroup";"Backend";"Mid";"Java|PLM|SQL|Git|English|Windchill|jenkins";23100;27300;NA;NA;NA;NA;NA;NA;22000;26000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-windchill-plm-consultant-the-workingroup-remote-vpinudgg"
"DevsData LLC";"Backend";"Senior";"C++";35000;39000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/software-team-leader-devsdata-llc-warsaw-hnknfwfo"
"Mobica Limited";"Embedded";"Senior";"C|OpenGL|Driver design";17000;29700;NA;NA;NA;NA;NA;NA;NA;NA;13500;24500;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/embedded-graphics-software-developer-mobica-limited-remote-vdnan4eq"
"Pixel Technology Sp. z o.o.";"Testing";"Mid";"Java|Linux|JIRA|Polish";NA;NA;4000;8000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/tester-oprogramowania-pixel-technology-lodz-8gluezje"
"Dassault Systèmes";"Business Analyst";"Trainee";"SQL|Business analysis|ms sql|oracle";NA;NA;NA;NA;4200;4536;NA;NA;NA;NA;NA;NA;4000;4320;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/business-analyst-paid-internship-dassault-systemes-krakow-caskumu2"
"ING BANK ŚLĄSKI SPÓŁKA AKCYJNA";"DevOps";"Mid";"Linux|Docker|Ansible|Bash|Python";NA;NA;16000;22000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/devops-engineer-ing-bank-slaski-spolka-akcyjna-remote-rz3hdiry"
"Adaptiq";"Frontend";"Senior";"javascript|multi-threaded programming|AWS|Communication skills|Critical thinking|Problem solving|Proactivity|React|TypeScript|ES6|CSS|webpack|html5|Git";23478;32016;NA;NA;NA;NA;NA;NA;NA;NA;23478;32016;NA;NA;NA;NA;24480;33382;NA;NA;"https://nofluffjobs.com/pl/job/senior-frontend-react-web-developer-adaptiq-remote-zn8msmac"
"IDEMIA";"Support";"Mid";"Jira Service Management|Confluence|Bitbucket|Artifactory|English|Python";16800;25200;NA;NA;NA;NA;NA;NA;NA;NA;12000;16000;NA;NA;NA;NA;16000;24000;NA;NA;"https://nofluffjobs.com/pl/job/atlassian-tools-expert-idemia-remote-6f4fp472"
"Tivix Europe Sp. z o.o.";"Frontend";"Senior";"JavaScript|React|AngularJS|TypeScript|CSS|APIs|English";20000;25000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-frontend-developer-tivix-europe-remote-ybyqr3ah"
"SIMLAB SP. Z O.O.";"Backend";"Mid";".NET|Entity Framework|Visual Studio|REST|SQL|Web API|English|Polish";7000;14000;NA;NA;NA;NA;NA;NA;NA;NA;7000;14000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/backend-developer-simlab-gliwice-r6bgfdaq"
"Informatica Polska";"Product Management";"Junior";"sql|linux|English";NA;NA;6500;8500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-data-management-consultant-informatica-polska-remote-bku11ep7"
"CSHARK Sp. z o.o.";"Backend";"Mid";"C#|.NET|English|Polish|Microservices";13500;17500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-mid-net-developer-cshark-mmadbcbo"
"Infopulse";"Big Data";"Mid";"Data Analysis|Google Analytics|Firebase|Data Studio|Google Big Query|English|Polish";20160;22848;NA;NA;NA;NA;NA;NA;NA;NA;14500;16600;NA;NA;NA;NA;19200;21760;NA;NA;"https://nofluffjobs.com/pl/job/remote-google-data-analyst-infopulse-33hwwqig"
"10Clouds";"Product Management";"Senior";"Backlog management|Cooperation with stakeholders|Product management|Budget management|Defining business requirements|Problem solving|Communication skills|Leadership skills|Agile|English";16000;21000;NA;NA;NA;NA;NA;NA;NA;NA;14000;17500;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-product-delivery-manager-10clouds-remote-ujgfio2e"
"Sienn Poland";"Testing";"Mid";"Selenium|JIRA|Postman|English|REST|C#";7000;14000;NA;NA;NA;NA;NA;NA;NA;NA;6000;11600;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/qa-engineer-sienn-poland-remote-6yl51nka"
"Volvo Group";"Backend";"Senior";"English|Team player|Critical thinking|Problem solving|Proactivity|Communication skills|Leadership skills|CI/CD|.net|Automation|DevOps|S.O.L.I.D|Agile|testing";NA;NA;19000;26000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/chapter-area-lead-net-volvo-group-wroclaw-ep7rwcjx"
"CodeTwo / HRejterzy";"Fullstack";"Mid";"Visual Studio|English|Critical thinking|Problem solving|Communication skills|Proactivity|.NET";NA;NA;9000;14000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/software-developer-c-or-asp-net-codetwo-hrejterzy-remote-9dqt1s2t"
"PANEK S.A.";"Backend";"Senior";"Java|DevOps|Java Experience 7 + years|Lead/Architect Experience 2+ years|Application Development|Migration|System Development|Team Leader experience|AWS|microservices|Spring Boot|Communication skills|Git|Leadership skills|Critical thinking|Problem solving|Proactivity|Java framework knowledge|CI/CD knowledge";24000;30000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/techlead-lider-techniczny-panek-warszawa-bmqtrux3"
"PANEK S.A.";"Fullstack";"Mid";"Communication skills|microservices|AWS|Problem solving|Critical thinking|4+ senior/mid architecture exp.|Znajomość frameworków & notacji arch.|Doświadczenie w dokumentowaniu architektury rozwiązań";16000;20000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/solution-architect-panek-warszawa-ndiqprtz"
"Antal Poland";"Backoffice";"Mid";"JIRA|SharePoint|Scrum|English|Personal organization|Communication skills|Proactivity|Problem solving|Team player|Reporting|Financial planning|MS Excel";NA;NA;10000;15000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/it-pmo-manager-antal-poland-krakow-lvbsuyox"
"Informatica Polska";"Backend";"Junior";"Java";NA;NA;6000;9000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-software-engineer-informatica-polska-remote-kygi5slb"
"SOFTIQ Sp. z o.o.";"Backend";"Junior";"PHP";NA;NA;NA;NA;4400;7000;NA;NA;NA;NA;4400;7000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-php-developer-softiq-remote-krzsgw5i"
"Celebrate Apps";"Frontend";"Senior";"React|React Native|English|javascript|typescript|Communication skills|Team player";22954;30605;NA;NA;NA;NA;NA;NA;NA;NA;22954;30605;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-react-react-native-developer-celebrate-apps-remote-fiy72cns"
"QBERRY";"Frontend";"Mid";"vue.js|Полноценный коммерческий опыт работы с Vue|Опыт работы с Nuxt|Опыт работы с UI библиотеками|Базовые знание Typescript (interface, types, simple generics)|Базовые знание vue i18n";NA;NA;6830;11952;NA;NA;NA;NA;NA;NA;7121;12463;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-mid-vue-js-frontend-developer-qberry-hiamqecb"
"NetworkedAssets";"Backend";"Senior";"Scala|Polish|English|Functional programming|JVM|Communication skills";NA;NA;20000;30000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-scala-developer-networkedassets-remote-zdxgqutf"
"celebrate company GmbH";"Big Data";"Senior";"Python|English|AWS|Postgres, Redshift or MySQL|Team player|Communication skills|Proactivity|SQL|Data Engineering|ETL";22954;30605;NA;NA;NA;NA;NA;NA;NA;NA;22954;30605;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-data-engineer-m-f-d-celebrate-company-remote-e4mpiill"
"PHLEXGLOBAL POLAND SP Z.O.O";"Testing";"Mid";"Selenium|SQL|JIRA|English|c#|Understanding of CI/CD|Automation Test Experience";NA;NA;9500;16000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/test-automation-engineer-phlexglobal-poland-remote-glarbexi"
"Railwaymen";"Backend";"Junior";"Ruby|Ruby on Rails|Git|SQL|English";4000;8000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/remote-junior-ruby-on-rails-developer-railwaymen-3qn5z9t5"
"Devire";"DevOps";"Junior";"Linux|Nginx|shell scripting|Docker";8000;14000;NA;NA;NA;NA;NA;NA;NA;NA;8000;14000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/devops-engineer-devire-remote-yhtvz9zz"
"SpotOn";"Mobile";"Mid";"Kotlin|android|Koin|RxJava|Retrofit|Git|English|Communication skills|Team player";14000;19000;NA;NA;NA;NA;NA;NA;NA;NA;12000;17000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/android-developer-spoton-remote-en09ut8m"
"PHLEXGLOBAL POLAND SP Z.O.O";"Testing";"Mid";".net|c#|Selenium|English|SQL|JIRA|Problem solving|Team player|Leadership skills";NA;NA;15000;17000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/lead-automation-test-engineer-phlexglobal-poland-remote-s38phvwr"
"Enso";"Backend";"Senior";"Rust|AWS|GCP|Microsoft Azure|SaaS|English|Google Cloud Platform|Amazon Web Services";28459;42689;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-rust-cloud-engineer-enso-remote-vftabjiy"
