"company";"position";"level";"requirements";"salary1B2BMin";"salary1B2BMax";"salary1UoPMin";"salary1UoPMax";"salary1UZMin";"salary1UZMax";"salary1UoDMin";"salary1UoDMax";"salary2B2BMin";"salary2B2BMax";"salary2UoPMin";"salary2UoPMax";"salary2UZMin";"salary2UZMax";"salary2UoDMin";"salary2UoDMax";"salary3B2BMin";"salary3B2BMax";"salary3UZMin";"salary3UZMax";"url"
"Link Group";"Marketing";"Trainee";"Content Marketing|Copywriting|Digital Marketing|Google Adwords|Social Media|Real-time marketing";NA;NA;NA;NA;4000;7000;NA;NA;NA;NA;3000;5500;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-social-media-geek-link-group-warsaw-wwokwqzr"
"DEVnet High Performance Solutions Sp. z o.o.";"Backend";"Junior";".NET|English|Team player|Communication skills|C#|MS SQL|Problem solving|Proactivity";NA;NA;6600;7900;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-net-developer-devnet-high-performance-solutions-wroclaw-vdudwiyv"
"Green Minds Sp.z o.o.";"Fullstack";"Junior";"JavaScript|TypeScript|Node|HTML|CSS|Express.js|Polish|Angular|jQuery|Git|nosql";10000;12000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10000;12000;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-fullstack-developer-green-minds-remote-ixkuhh2k"
"Ingrid";"Testing";"Junior";"testing|Team player|Critical thinking|Problem solving|Proactivity|Communication skills|REST|SDLC|STLC";5000;9000;NA;NA;NA;NA;NA;NA;NA;NA;4500;7500;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-qa-engineer-ingrid-remote-jvhknpxn"
"Knowit Poland Sp. z o.o.";"DevOps";"Junior";"AWS|Linux|Azure|Ansible|English";NA;NA;6000;8000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-cloud-specialist-knowit-poland-remote-scxjbtfq"
"Centrum Informatyki Statystycznej";"Fullstack";"Mid";"drupal|PHP|CSS3|html|jquery|Communication skills|Problem solving|Team player|REST|J. angielski - poziom umożliwiający czyt. dok. techn.|Min. roczne dośw. na stanowisku Drupal Developer";NA;NA;5000;7000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/drupal-developer-centrum-informatyki-statystycznej-warszawa-oeicjp94"
"GRIP Software Solutions";"Fullstack";"Junior";"Java|Spring|Git|Database (PostgreSQL) and SQL|Object-Relational Mapping (JPA/Hibernate)|IDE (IntelliJ, Eclipse)|o Java and Java-related frameworks (Spring, Spring Boot|• Self-motivated, organised and customer focused|Critical thinking|Good verbal and writing English|Communication skills";5000;9000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-java-software-developer-grip-software-solutions-remote-x2rg6iyb"
"Axis Group";"Business Intelligence";"Junior";"Good knowledge of Microsoft Excel|Bachelor&#39;s degree in Computer Science or economics|Analytical thinking|Communication skills|Excellent English communication skills (B2/C1)";5000;8500;NA;NA;NA;NA;NA;NA;NA;NA;4500;7000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-remote-bi-developer-axis-group-ienfwsma"
"CDQ";"Backend";"Junior";"Java|English|Communication skills|Git|REST|Spring|Team player";NA;NA;5000;9000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/junior-remote-java-engineer-cdq-dfqekgs5"
"Infogain Technologies Sp. z o.o.";"Backend";"Senior";".NET|Entity Framework|REST API|MS SQL";16000;24500;NA;NA;NA;NA;NA;NA;NA;NA;14000;19000;NA;NA;NA;NA;NA;NA;NA;NA;"https://nofluffjobs.com/pl/job/senior-net-engineer-remote-infogain-technologies-dddipkjy"
